name,gender,n_female,n_male
"Kumagai, Atsutoshi",M,0,1
"Iwata, Tomoharu",M,0,4
"Xu, Zheng",M,1,8
"Li, Hao",M,3,15
"Chen, Lin",M,3,13
"Hassani, Hamed",M,0,6
"Karbasi, Amin",M,1,11
"Jiang, Hua",F,NA,NA
"Li, Chu-Min",NA,NA,NA
"Manya, Felip",M,NA,NA
"Lakkaraju, Himabindu",F,1,6
"Caruana, Rich",M,2,1
"Roy, Subhro",M,0,1
"Roth, Dan",M,0,1
"Riquelme, Carlos",M,0,4
"Johari, Ramesh",M,0,2
"Zhang, Baosen",M,0,2
"Lou, Qi",M,1,1
"Ihler, Alexander",M,1,3
"Dechter, Rina",F,0,4
"Sunahase, Takeru",M,1,1
"Baba, Yukino",F,0,2
"Liang, Jiaqing",M,0,6
"Zhang, Yi",M,2,17
"Xiao, Yanghua",M,0,6
"Wang, Haixun",M,0,6
"Zhu, Pinpin",M,0,5
"Zhang, Hongyang",M,3,8
"You, Shan",M,0,3
"Lee, Jaekoo",M,0,3
"Kim, Hyunjae",M,0,3
"Lee, Jongsun",M,0,3
"Yoon, Sungroh",M,0,6
"Lian, Defu",M,1,6
"Yang, Guowu",M,1,1
"Basilico, Nicola",M,0,3
"Celli, Andrea",M,0,3
"Nittis, Giuseppe De",M,0,3
"Gong, Dong",M,1,3
"Tan, Mingkui",M,1,3
"Lu, Heng-Yang",M,NA,NA
"Xie, Lu-Yao",NA,1,3
"Kang, Ning",F,NA,NA
"Wang, Chong-Jun",M,NA,NA
"Xie, Jun-Yuan",M,NA,NA
"Kim, Hideaki",M,0,3
"Fujiwara, Yasuhiro",M,0,5
"Ueda, Naonori",M,0,6
"Yogeswaran, Arjun",M,0,1
"Payeur, Pierre",M,0,1
"Yu, Lequan",M,4,4
"Xin, Yang",M,2,2
"Chen, Hao",F,1,3
"Qin, Jing",F,3,5
"Heng, Pheng-Ann",M,5,6
"Yang, Shuo",M,1,10
"Zou, Lei",M,0,4
"Wang, Zhongyuan",M,0,4
"Yan, Jun",M,NA,NA
"Wen, Jirong",M,0,4
"Guo, Xiawei",M,0,2
"Yao, Quanming",M,NA,NA
"Kwok, James T.",M,0,5
"Gao, Li",M,1,2
"Wu, Jia",M,1,2
"Zhou, Chuan",M,1,2
"Hu, Yue",F,0,3
"Biedenkapp, Andre",M,1,4
"Lindauer, Marius",M,1,4
"Eggensperger, Katharina",F,0,5
"Fawcett, Chris",M,1,4
"Hutter, Frank",M,1,4
"Hoos, Holger",M,1,4
"Huang, Zhiwu",M,0,3
"Gool, Luc Van",M,3,18
"Peng, Hanyang",M,0,1
"Fan, Yong",M,0,1
"Kouvaros, Panagiotis",M,0,1
"Lomuscio, Alessio",M,0,1
"Schmitt, Felix",M,0,3
"Bieg, Hans-Joachim",M,0,3
"Herman, Michael",M,0,3
"Rothkopf, Constantin A.",M,0,3
"Al-Dujaili, Abdullah",M,0,1
"Sundaram, Suresh",M,0,1
"Hoffmann, Ruth",F,0,2
"Mccreesh, Ciaran",M,1,1
"Reilly, Craig",M,1,1
"Wang, Yi",F,NA,NA
"Fan, Xin",M,NA,NA
"Wang, Tianzhu",NA,NA,NA
"Min, Maomao",NA,NA,NA
"Lan, Xiangyuan",M,0,2
"Yuen, Pong Chi",M,0,2
"Chellappa, Rama",M,1,4
"Sherif, Mohamed Ahmed",M,0,3
"Dressler, Kevin",M,0,3
"Smeros, Panayiotis",M,0,3
"Ngomo, Axel-Cyrille Ngonga",M,0,3
"Kuo, Chia-Tung",M,2,2
"Ravi, S. S.",M,2,2
"Dao, Thi-Bich-Hanh",F,1,3
"Vrain, Christel",F,1,3
"Davidson, Ian",M,4,10
"Zhou, Chang",M,2,2
"Liu, Yuqiong",F,1,3
"Liu, Xiaofei",F,1,3
"Liu, Zhongyi",M,2,2
"Gao, Jun",M,2,2
"Kwak, Suha",M,0,4
"Hong, Seunghoon",M,0,4
"Han, Bohyung",M,1,14
"Seipp, Jendrik",M,0,2
"Keller, Thomas",M,0,2
"Helmert, Malte",M,0,6
"Keren, Gil",M,1,1
"Sabato, Sivan",F,0,4
"Schuller, Bjorn",M,NA,NA
"Xing, Chen",F,0,6
"Wu, Wei",M,1,5
"Wu, Yu",M,1,5
"Liu, Jie",M,2,7
"Huang, Yalou",M,1,5
"Zhou, Ming",M,NA,NA
"Ma, Wei-Ying",M,1,5
"Song, Kun",M,0,2
