name,gs_email,gender,country,sector,npubs,hindex,hindex5y,i10index,i10index5y,citedby,s2npubs
"Andonov, Rumen",@irisa.fr,M,FR,EDU,112,17,10,29,10,937,71
"Andriesse, Dennis",@few.vu.nl,M,NL,EDU,15,7,7,6,6,314,15
"Andriotis, Panagiotis",@uwe.ac.uk,M,UK,EDU,26,4,4,4,4,124,25
"Andritsos, Periklis",@utoronto.ca,M,CA,EDU,67,15,10,18,13,1318,55
"Andronidis, Anastasios",@imperial.ac.uk,M,UK,EDU,13,1,1,0,0,7,3
"Andrus, Jeremy",@cs.columbia.edu,M,US,EDU,25,8,8,7,7,461,11
"Andrzejak, Artur",@informatik.uni-heidelberg.de,M,DE,EDU,129,23,16,46,22,2308,90
"Ang, Lynn",,F,US,EDU,,,,,,,9
"Ang, Petchean",,M,,,,,,,,,2
"Angelino, Elaine",@eecs.berkeley.edu,F,US,EDU,23,13,12,13,12,1679,28
"Anghel, Andreea",@zurich.ibm.com,F,CH,COM,20,5,5,1,1,61,24
"Angulo, Gustavo",,M,,,,,,,,,20
"Anirudh, Rushil",@llnl.gov,M,US,GOV,22,4,4,2,2,74,24
"Annavaram, Murali",@usc.edu,M,US,EDU,142,25,22,53,41,3516,105
"Ansari, Amin",@qti.qualcomm.com,M,,COM,44,16,13,18,17,814,44
"Anta, Antonio Fernandez",@imdea.org,M,ES,EDU,294,28,18,65,41,3396,
"Antao, Samuel",@sips.inesc-id.pt,M,US,COM,49,12,12,13,12,401,32
"Antichi, Gianni",@cl.cam.ac.uk,M,UK,EDU,59,11,10,14,12,457,50
"Antonakakis, Manos",@gatech.edu,M,US,EDU,64,14,14,20,18,1244,41
"Antoniadis, Antonios",,M,,,,,,,,,
"Antonie, Luiza",@uoguelph.ca,F,CA,EDU,30,12,10,12,11,1512,
"Antoniu, Gabriel",@inria.fr,M,FR,EDU,207,24,17,52,32,2054,156
"Antonopoulos, Timos",,M,,,,,,,,,19
"Antova, Lyublena",@datometry.com,F,,COM,28,11,10,11,10,1069,
"Antypas, Katerina",,F,,,,,,,,,
"Anzt, Hartwig",@icl.utk.edu,M,US,EDU,62,14,13,18,17,424,54
"Ao, Yulong",,M,,,,,,,,,6
"Aoki, Takayuki",,M,,,,,,,,,116
"Apon, Amy",@clemson.edu,F,US,EDU,143,13,10,25,10,819,
"Apostolaki, Maria",,F,CH,EDU,,,,,,,22
"Appel, Andrew W.",@princeton.edu,M,US,EDU,174,50,28,109,59,13122,188
"Appice, Annalisa",@di.uniba.it,F,IT,EDU,169,19,15,37,25,2121,
"Appini, Mahathi Priya",,F,US,EDU,,,,,,,1
"Appuswamy, Raja",@epfl.ch,M,CH,EDU,29,8,6,5,3,238,29
"Apra, Edoardo",@pnnl.gov,M,US,GOV,124,38,26,78,47,9789,
"Apte, Varsha",@cse.iitb.ac.in,F,IN,EDU,54,15,9,22,8,733,35
"Aqil, Azeem",@cs.ucr.edu,M,US,EDU,8,2,2,1,1,22,9
"Arab, Bahareh Sadat",@hawk.iit.edu,F,US,EDU,8,3,3,1,1,35,9
"Arabnejad, Hamid",@fe.up.pt,M,PT,EDU,15,6,6,4,4,210,17
"Aracil, Javier",@etsi.us.es,M,ES,COM,231,29,15,77,30,3318,150
"Arafa, Pansy",@uwaterloo.ca,F,CA,EDU,6,3,3,1,1,25,7
"Araki, Toshinori",,M,,COM,,,,,,,17
"Arampatzis, Avi",@ee.duth.gr,M,GR,EDU,72,17,12,28,17,1245,
"Arapakis, Ioannis",@telefonica.com,M,,COM,29,11,11,11,11,590,
"Arasu, Arvind",,M,,COM,,,,,,,48
"Araujo, Guido",@ic.unicamp.br,M,BR,EDU,179,20,10,49,13,1914,123
"Araujo, Miguel Ramos De",@feedzai.com,M,,COM,15,6,6,5,5,141,20
"Arbenz, Peter",@inf.ethz.ch,M,CH,EDU,64,4,4,0,0,41,
"Arcaute, Esteban",@walmartlabs.com,M,,COM,14,7,7,6,5,153,12
"Archer, Charles",,M,,,,,,,,,2
"Ardagna, Danilo",@polimi.it,M,IT,EDU,191,26,24,61,47,3680,
"Ardalani, Newsha",@cs.wisc.edu,F,US,EDU,3,1,1,1,1,13,6
"Ardanaz, Federico",,M,,COM,,,,,,,2
"Ardekani, Masoud Saeida",@masoud.io,M,US,COM,16,7,7,6,6,160,17
"Arden, Owen",@ucsc.edu,M,US,EDU,16,6,6,5,5,167,15
"Aref, Walid",@cs.purdue.edu,M,US,EDU,293,54,32,133,80,11032,
"Arguello, Jaime",@email.unc.edu,M,US,EDU,57,18,17,27,23,1759,
"Argyraki, Katerina",@epfl.ch,F,CH,EDU,51,19,17,30,26,1738,63
"Argyros, George",,M,US,EDU,,,,,,,26
"Ariola, Zena M.",@cs.uoregon.edu,F,US,EDU,69,21,10,29,11,1565,63
"Arjomand, Mohammad",@gatech.edu,M,KR,EDU,42,9,8,8,7,337,46
"Arlitt, Martin",@microfocus.com,M,CA,EDU,133,40,28,77,59,9766,115
"Armbrust, Michael",@cs.berkeley.edu,M,,COM,33,14,12,14,13,15474,59
"Arnau, Jose Maria",@ac.upc.edu,M,ES,EDU,13,4,4,4,4,87,12
"Arnautov, Sergei",,M,DE,EDU,,,,,,,10
"Arndt, Oliver Jakob",,M,DE,EDU,,,,,,,30
